     1.000     2.000     2.000     2.000     2.000     2.000     2.000     1.000     2.000     2.000     2.000     1.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000         *         *         *         *         *         *         *     1.000     1.000     2.000     2.000     1.000     2.000     2.000     2.000     2.000     2.000     2.000     1.000     2.000     2.000     3.000     1.000     1.000     0.000     2.000     1.000     0.000     3.000     1.000     3.000     3.000     1.000     3.000     0.000     3.000     5.000     1.000     3.000     5.000     3.000     5.000     4.000     3.000     3.000     3.000     1.000     0.000     2.000     2.000     1.000     2.000     0.000     3.000     5.000     1.000     3.000     3.000     4.000     4.000     2.000     1.000     4.000     3.000     1.000         *         *         *         *     2.000     2.000     3.000     3.000     2.000     3.000     3.000     3.000     2.000     1.000     2.000     3.000     1.000     4.000     0.000     0.000         *         *     1.000    12.000         *     3.000     0.000     5.000     4.000     2.000     3.000     3.000     4.000     5.000     4.000     3.000     1.000     5.000     5.000     5.000     5.000    54.000     0.020     0.000         *     0.000     0.000   121.000     1.072     3.000     5.000     7.000    11.000    13.000    17.000     1.169     0.519     1.052     0.471     1.421     0.507     1.062     0.561     0.720     0.430     1.024     0.479     1.439     2   4 379
     1.000     0.000     0.000     2.000     1.000     2.000     2.000     0.000     1.000     1.000     1.000     1.000     1.000     2.000     0.000     1.000     1.000     1.000     2.000     2.000     2.000     0.000     2.000     1.000     1.000     2.000     2.000     2.000     1.000     2.000     2.000     1.000     2.000     2.000     2.000     1.000     2.000     2.000     2.000     2.000     2.000     2.000     3.000     0.000     1.000     0.000     0.000     2.000     0.000     3.000     0.000     2.000     3.000     3.000     3.000     0.000     3.000     6.000     1.000     2.000     5.000     1.000     4.000     3.000     1.000     5.000     2.000     1.000     0.000     3.000     1.000     2.000     3.000     3.000     3.000     5.000     0.000     2.000     5.000     4.000     3.000     2.000     2.000     4.000     4.000     0.000     0.000     1.000     2.000     2.000     1.000     2.000     3.000     2.000     2.000     3.000     2.000     1.000     3.000     2.000     3.000     1.000     1.000     3.000     0.000     0.000         *         *     1.000    10.000         *     2.000     0.000     4.000     4.000     3.000     2.000     3.000     3.000     5.000     5.000     5.000     4.000     5.000     5.000     5.000     5.000    58.000     0.545     1.500         *         *         *   138.000     2.111     3.000     5.000     7.000    11.000    14.000    17.000    -0.503     0.408    -0.649     0.366    -0.305     0.369     0.064     0.353     0.412     0.390     0.777     0.441     1.371     3   4  40
     0.000     1.000     2.000     1.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     1.000     2.000     2.000     2.000     1.000     2.000     2.000         *         *         *         *         *         *         *     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     1.000     2.000     1.000     3.000     3.000     3.000     3.000     4.000     0.000     0.000     1.000     2.000     3.000     2.000     3.000     0.000     3.000     4.000     0.000     3.000     5.000     4.000     5.000     3.000     3.000     3.000     3.000     1.000     1.000     1.000     2.000     2.000     2.000     0.000     3.000     3.000     0.000     3.000     4.000     3.000     5.000     3.000     3.000     4.000     4.000     1.000         *         *         *         *         *         *     3.000     3.000     3.000     3.000     3.000     3.000         *         *     3.000     3.000         *     1.000     1.000     1.000     1.000     0.000     1.000    13.000         *     3.000     0.000     4.000     5.000     2.000     2.000     2.000         *     4.000     5.000     4.000     4.000     5.000     5.000     4.000     4.000    50.000    -0.506     0.000         *     0.000     0.000   119.000     0.950     3.000     5.000     7.000    11.000    13.000    17.000     0.280     0.438     1.268     0.496     0.982     0.453     1.191     0.563     1.384     0.510     0.939     0.435     0.985     7   1 326
     1.000     1.000     1.000     2.000     0.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     1.000     2.000     2.000     1.000     2.000     0.000     0.000     2.000     2.000     2.000     2.000     2.000     1.000     2.000     2.000     2.000     2.000     2.000     2.000     1.000     1.000     2.000     1.000     2.000     2.000     2.000     0.000     2.000     2.000     3.000     1.000     1.000     1.000     1.000     1.000     1.000     2.000     2.000     2.000     2.000     2.000     3.000     2.000     2.000     6.000     1.000     2.000     4.000     4.000     3.000     3.000     5.000     5.000     0.000     0.000     2.000     3.000     2.000     3.000     3.000     2.000     3.000     4.000     1.000     3.000     0.000     1.000     0.000     1.000     1.000     2.000     0.000     1.000     1.000     1.000     1.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     2.000     3.000     2.000     1.000     5.000     0.000     0.000         *         *     1.000    10.000         *     2.000     0.000     4.000     2.000     4.000     1.000     1.000     5.000     4.000     2.000     1.000     1.000     4.000     4.000     4.000     4.000    41.000    -1.688     0.000         *     0.000     0.000   120.000     1.011     3.000     5.000     7.000    11.000    14.000    17.000    -0.682     0.397    -0.820     0.362    -0.228     0.357     0.537     0.376     0.437     0.373     0.583     0.418     0.638     8   9 247
     1.000     1.000     1.000     1.000     0.000     1.000     2.000     0.000     1.000     1.000     2.000     1.000     2.000     2.000     1.000     2.000     2.000     2.000     0.000     2.000     2.000     1.000     2.000     2.000     2.000     1.000     2.000     2.000     1.000     2.000     2.000     2.000     0.000     2.000     2.000     1.000     2.000     1.000     1.000     0.000     2.000     2.000     4.000     0.000     1.000     3.000     3.000     3.000     0.000     2.000     0.000     3.000     3.000     3.000     3.000     1.000     2.000     6.000     0.000     3.000     5.000     3.000     2.000     2.000     3.000     3.000     4.000     3.000     0.000     3.000     3.000     3.000     3.000     1.000     3.000     5.000     0.000     3.000     4.000     5.000     5.000     2.000     4.000     0.000     2.000     1.000     2.000     2.000     2.000     2.000     2.000     2.000     3.000     3.000     2.000     0.000     1.000     1.000         *         *     1.000     2.000         *     0.000     1.000     1.000     1.000     0.000     1.000    12.000         *     3.000     0.000     5.000     4.000     2.000     5.000     3.000         *     3.000     3.000     5.000     1.000     2.000     3.000     5.000     4.000    45.000    -1.163     3.500         *         *         *   100.000    -0.212     3.000     4.000     6.000    10.000    13.000    16.000    -0.519     0.406    -0.043     0.384     0.331     0.394     0.467     0.373     0.422     0.396     0.084     0.382     0.533    10   2  51
     2.000     2.000     1.000     2.000     1.000     2.000     2.000     2.000     1.000     0.000     2.000     1.000     2.000     2.000     1.000     2.000     1.000     2.000     0.000     2.000     2.000     2.000     1.000     2.000     1.000     1.000     2.000     2.000     2.000     1.000     2.000     1.000     0.000     2.000     2.000     2.000     1.000     2.000     1.000     1.000     2.000     2.000     1.000     0.000     3.000     3.000     2.000     3.000     1.000     0.000     0.000     2.000     1.000     2.000     2.000     0.000     3.000     5.000     0.000     3.000     5.000     0.000     3.000     4.000     2.000     5.000     2.000     1.000     0.000     3.000     2.000     3.000     3.000     2.000     3.000     5.000     0.000     3.000     5.000     0.000     2.000     3.000     2.000     3.000     3.000     0.000     1.000     1.000     3.000     3.000     0.000     2.000     3.000     3.000     3.000     3.000     2.000     2.000     3.000     2.000     3.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000    16.000         *     4.000     0.000     5.000     2.000     3.000     5.000     5.000     5.000     5.000     2.000     5.000     4.000     5.000     5.000     2.000     5.000    58.000     0.545     0.250     1.000     0.250     0.000   113.000     0.583     2.000     5.000     7.000    11.000    14.000    17.000     0.582     0.451     0.206     0.392     0.270     0.388     0.171     0.353     0.062     0.372     0.137     0.382     1.036    12   1 297
     1.000     1.000     1.000     1.000     1.000     1.000     2.000     2.000     2.000     2.000     1.000     2.000     2.000     2.000         *         *         *         *         *         *         *     1.000     1.000     1.000     0.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     2.000     1.000     1.000     1.000     1.000     2.000     2.000     2.000     1.000     1.000     0.000     1.000     0.000     0.000     1.000     2.000     1.000     0.000     0.000     0.000     0.000     1.000     0.000     1.000     6.000     1.000     2.000     3.000     3.000     3.000     3.000     3.000     4.000     3.000         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *     2.000     1.000     3.000     2.000     2.000     2.000     3.000     3.000     3.000     1.000     1.000     0.000     3.000     1.000     2.000     1.000     1.000     4.000     0.000     0.000     2.000     1.000     1.000         *         *         *     0.000     5.000     3.000     4.000     4.000     4.000     4.000     5.000     5.000     5.000     5.000     3.000     4.000     5.000     5.000    61.000     0.940     0.000         *     0.000     0.000    89.000    -0.884     3.000     5.000         *    11.000    13.000    16.000    -0.436     0.411     0.194     0.402    -0.370     0.596    -0.926     0.334    -0.591     0.356    -0.309     0.364     0.214    13   3 314
     1.000     1.000     1.000     0.000     1.000     2.000     2.000     2.000     0.000     1.000     0.000     1.000     2.000     2.000     1.000     0.000     1.000     0.000     1.000     0.000     0.000     1.000     0.000     1.000     0.000     2.000     0.000     2.000         *         *         *         *         *         *         *         *         *         *         *         *         *         *     4.000     2.000     3.000     3.000     3.000     4.000     3.000     3.000     2.000     3.000     3.000     3.000     3.000     3.000     3.000     6.000     1.000     2.000     5.000     4.000     4.000     3.000     3.000     3.000     3.000     3.000     2.000     3.000     3.000     0.000     3.000     1.000     3.000     3.000     1.000     2.000     4.000     3.000     0.000     3.000     3.000     3.000     3.000     0.000     1.000     1.000     2.000     2.000     2.000     3.000         *         *         *         *         *         *         *         *         *         *         *     4.000     0.000     0.000         *         *     0.000    10.000         *     2.000     0.000     4.000     4.000     3.000     1.000     2.000         *     5.000     4.000     4.000     4.000     5.000     5.000     4.000     5.000    50.000    -0.506     0.000         *     0.000     0.000   102.000    -0.090     3.000     5.000     7.000    11.000         *    17.000    -0.802     0.409    -0.999     0.365    -1.823     0.382    -1.448     0.375    -1.383     0.666    -1.293     0.706     1.812    15   6 143
     1.000     1.000     2.000     2.000     0.000     1.000     2.000     1.000     2.000     2.000     2.000     1.000     2.000     2.000     1.000     2.000     2.000     1.000     1.000     1.000     1.000     2.000     2.000     2.000     2.000     1.000     2.000     2.000     0.000     1.000     1.000     1.000     0.000     0.000     1.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     4.000     0.000     1.000     4.000     4.000     4.000     1.000     2.000     1.000     2.000     3.000     3.000     4.000     0.000     3.000     4.000     1.000     2.000     5.000     5.000     5.000     2.000     5.000     2.000     3.000     2.000     1.000     2.000     3.000     3.000     3.000     1.000     4.000     5.000     1.000     2.000     5.000     5.000     5.000     2.000     2.000     2.000     3.000     0.000     3.000     2.000     3.000     3.000     4.000     2.000     3.000     3.000     3.000     3.000     2.000     3.000         *         *     3.000     1.000         *     1.000     1.000     0.000     1.000     0.000     0.000    11.000         *     2.000     0.000     4.000     4.000     3.000     2.000     5.000     5.000     5.000     5.000     5.000     4.000     1.000     5.000     4.000     4.000    56.000     0.283     0.000         *     0.000     0.000    89.000    -0.884     3.000     4.000     7.000    10.000    13.000    16.000    -0.153     0.413     0.458     0.409    -0.234     0.352     0.597     0.381    -0.863     0.353     0.798     0.443     0.977    19   1 273
         *     2.000     2.000     2.000     1.000     2.000     2.000         *         *         *         *         *         *         *     1.000     2.000     2.000     2.000     2.000     2.000     2.000     1.000     1.000     2.000     2.000     2.000     1.000     2.000     2.000     2.000     2.000     2.000     2.000     0.000     2.000     1.000     1.000     2.000     1.000     2.000     1.000     1.000     0.000     0.000     3.000     2.000     1.000     1.000     2.000         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *         *     0.000     0.000     1.000     1.000     1.000     1.000     1.000     2.000     4.000     1.000     3.000     5.000     3.000     4.000     3.000     3.000     3.000     4.000     1.000     0.000     0.000     0.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     1.000     1.000     5.000     0.000     1.000         *         *     0.000         *     7.000     1.000     0.000     1.000     4.000     1.000     1.000     4.000         *     5.000     5.000     5.000         *     5.000     5.000     5.000     5.000    46.000    -1.031     0.000         *     0.000     0.000   139.000     2.172     2.000         *     7.000    11.000    13.000    16.000     0.891     0.514     0.655     0.622     0.887     0.454     0.208     0.357     0.274     0.369    -0.317     0.359     0.889    26   5 129
