1 2 2 2 2 2 2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 * * * * * * * 1 1 2 2 1 2 2 2 2 2 2 1 2 2 3 1 1 0 2 1 0 3 1 3 3 1 3 0 3 5 1 3 5 3 5 4 3 3 3 1 0 2 2 1 2 0 3 5 1 3 3 4 4 2 1 4 3 1 * * * * 2 2 3 3 2 3 3 3 2 1 2 3 1 4 0 0 * * 1 12 * 3 0 5 4 2 3 3 4 5 4 3 1 5 5 5 5 54 0.02 0 * 0 0 121 1.072 3 5 7 11 13 17 1.169 0.519 1.052 0.471 1.421 0.507 1.062 0.561 0.72 0.43 1.024 0.479 -0.55 0.439 -0.148 0.333 -0.052 0.365 -0.132 0.742 -0.149 0.494 -0.467 0.524 0.238 0.649 1.439 2 4 379
1 0 0 2 1 2 2 0 1 1 1 1 1 2 0 1 1 1 2 2 2 0 2 1 1 2 2 2 1 2 2 1 2 2 2 1 2 2 2 2 2 2 3 0 1 0 0 2 0 3 0 2 3 3 3 0 3 6 1 2 5 1 4 3 1 5 2 1 0 3 1 2 3 3 3 5 0 2 5 4 3 2 2 4 4 0 0 1 2 2 1 2 3 2 2 3 2 1 3 2 3 1 1 3 0 0 * * 1 10 * 2 0 4 4 3 2 3 3 5 5 5 4 5 5 5 5 58 0.545 1.5 * * * 138 2.111 3 5 7 11 14 17 -0.503 0.408 -0.649 0.366 -0.305 0.369 0.064 0.353 0.412 0.39 0.777 0.441 -0.896 0.442 0.015 0.334 0.153 0.341 -0.715 0.409 -0.649 0.451 -0.239 0.546 -0.436 0.623 1.371 3 4 40
0 1 2 1 2 2 2 2 2 2 2 2 2 2 1 2 2 2 1 2 2 * * * * * * * 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 3 3 3 3 4 0 0 1 2 3 2 3 0 3 4 0 3 5 4 5 3 3 3 3 1 1 1 2 2 2 0 3 3 0 3 4 3 5 3 3 4 4 1 * * * * * * 3 3 3 3 3 3 * * 3 3 * 1 1 1 1 0 1 13 * 3 0 4 5 2 2 2 * 4 5 4 4 5 5 4 4 50 -0.506 0 * 0 0 119 0.95 3 5 7 11 13 17 0.28 0.438 1.268 0.496 0.982 0.453 1.191 0.563 1.384 0.51 0.939 0.435 0.696 0.442 0.248 0.333 0.012 0.365 -0.079 0.748 1.009 0.704 0.864 0.756 0.852 0.795 0.985 7 1 326
1 1 1 2 0 1 1 1 1 1 0 1 1 1 2 2 1 2 0 0 2 2 2 2 2 1 2 2 2 2 2 2 1 1 2 1 2 2 2 0 2 2 3 1 1 1 1 1 1 2 2 2 2 2 3 2 2 6 1 2 4 4 3 3 5 5 0 0 2 3 2 3 3 2 3 4 1 3 0 1 0 1 1 2 0 1 1 1 1 3 3 3 3 3 3 3 3 3 3 2 3 2 1 5 0 0 * * 1 10 * 2 0 4 2 4 1 1 5 4 2 1 1 4 4 4 4 41 -1.688 0 * 0 0 120 1.011 3 5 7 11 14 17 -0.682 0.397 -0.82 0.362 -0.228 0.357 0.537 0.376 0.437 0.373 0.583 0.418 -0.373 0.433 0.522 0.328 0.661 0.338 -0.369 0.423 1.058 0.688 0.978 0.727 0.253 0.629 0.638 8 9 247
1 1 1 1 0 1 2 0 1 1 2 1 2 2 1 2 2 2 0 2 2 1 2 2 2 1 2 2 1 2 2 2 0 2 2 1 2 1 1 0 2 2 4 0 1 3 3 3 0 2 0 3 3 3 3 1 2 6 0 3 5 3 2 2 3 3 4 3 0 3 3 3 3 1 3 5 0 3 4 5 5 2 4 0 2 1 2 2 2 2 2 2 3 3 2 0 1 1 * * 1 2 * 0 1 1 1 0 1 12 * 3 0 5 4 2 5 3 * 3 3 5 1 2 3 5 4 45 -1.163 3.5 * * * 100 -0.212 3 4 6 10 13 16 -0.519 0.406 -0.043 0.384 0.331 0.394 0.467 0.373 0.422 0.396 0.084 0.382 0.22 0.438 0.795 0.334 1.015 0.342 0.758 0.411 -1.515 0.433 -1.713 0.515 -0.27 0.723 0.533 10 2 51
2 2 1 2 1 2 2 2 1 0 2 1 2 2 1 2 1 2 0 2 2 2 1 2 1 1 2 2 2 1 2 1 0 2 2 2 1 2 1 1 2 2 1 0 3 3 2 3 1 0 0 2 1 2 2 0 3 5 0 3 5 0 3 4 2 5 2 1 0 3 2 3 3 2 3 5 0 3 5 0 2 3 2 3 3 0 1 1 3 3 0 2 3 3 3 3 2 2 3 2 3 1 1 1 1 1 1 0 0 16 * 4 0 5 2 3 5 5 5 5 2 5 4 5 5 2 5 58 0.545 0.25 1 0.25 0 113 0.583 2 5 7 11 14 17 0.582 0.451 0.206 0.392 0.27 0.388 0.171 0.353 0.062 0.372 0.137 0.382 -0.209 0.434 -0.042 0.331 0.087 0.34 -0.042 0.417 0.299 0.564 0.339 0.625 -0.233 0.625 1.036 12 1 297
1 1 1 1 1 1 2 2 2 2 1 2 2 2 * * * * * * * 1 1 1 0 0 1 1 1 1 1 1 1 2 1 1 1 1 2 2 2 1 1 0 1 0 0 1 2 1 0 0 0 0 1 0 1 6 1 2 3 3 3 3 3 4 3 * * * * * * * * * * * * * * * * * * * 2 1 3 2 2 2 3 3 3 1 1 0 3 1 2 1 1 4 0 0 2 1 1 * * * 0 5 3 4 4 4 4 5 5 5 5 3 4 5 5 61 0.94 0 * 0 0 89 -0.884 3 5 * 11 13 16 -0.436 0.411 0.194 0.402 -0.37 0.596 -0.926 0.334 -0.591 0.356 -0.309 0.364 -1.948 0.471 -2.141 0.443 -1.734 0.483 -0.053 0.417 -0.907 0.451 -0.808 0.515 -0.691 0.626 0.214 13 3 314
1 1 1 0 1 2 2 2 0 1 0 1 2 2 1 0 1 0 1 0 0 1 0 1 0 2 0 2 * * * * * * * * * * * * * * 4 2 3 3 3 4 3 3 2 3 3 3 3 3 3 6 1 2 5 4 4 3 3 3 3 3 2 3 3 0 3 1 3 3 1 2 4 3 0 3 3 3 3 0 1 1 2 2 2 3 * * * * * * * * * * * 4 0 0 * * 0 10 * 2 0 4 4 3 1 2 * 5 4 4 4 5 5 4 5 50 -0.506 0 * 0 0 102 -0.09 3 5 7 11 * 17 -0.802 0.409 -0.999 0.365 -1.823 0.382 -1.448 0.375 -1.383 0.666 -1.293 0.706 1.512 0.449 1.474 0.333 1.129 0.339 -0.082 0.42 -0.162 0.967 -0.167 0.96 -0.178 0.993 1.812 15 6 143
1 1 2 2 0 1 2 1 2 2 2 1 2 2 1 2 2 1 1 1 1 2 2 2 2 1 2 2 0 1 1 1 0 0 1 2 2 2 2 2 2 2 4 0 1 4 4 4 1 2 1 2 3 3 4 0 3 4 1 2 5 5 5 2 5 2 3 2 1 2 3 3 3 1 4 5 1 2 5 5 5 2 2 2 3 0 3 2 3 3 4 2 3 3 3 3 2 3 * * 3 1 * 1 1 0 1 0 0 11 * 2 0 4 4 3 2 5 5 5 5 5 4 1 5 4 4 56 0.283 0 * 0 0 89 -0.884 3 4 7 10 13 16 -0.153 0.413 0.458 0.409 -0.234 0.352 0.597 0.381 -0.863 0.353 0.798 0.443 0.974 0.446 1.23 0.334 1.305 0.341 1.269 0.405 0.322 0.586 0.233 0.651 -0.351 0.727 0.977 19 1 273
* 2 2 2 1 2 2 * * * * * * * 1 2 2 2 2 2 2 1 1 2 2 2 1 2 2 2 2 2 2 0 2 1 1 2 1 2 1 1 0 0 3 2 1 1 2 * * * * * * * * * * * * * * * * * * 0 0 1 1 1 1 1 2 4 1 3 5 3 4 3 3 3 4 1 0 0 0 3 3 3 3 3 3 3 3 3 3 3 3 1 1 5 0 1 * * 0 * 7 1 0 1 4 1 1 4 * 5 5 5 * 5 5 5 5 46 -1.031 0 * 0 0 139 2.172 2 * 7 11 13 16 0.891 0.514 0.655 0.622 0.887 0.454 0.208 0.357 0.274 0.369 -0.317 0.359 -1.04 0.463 -1.369 0.425 -1.599 0.415 -2.05 0.495 1.293 0.723 1.264 0.76 0.101 0.642 0.889 26 5 129
